Date,Price,Open,High,Low,Volume,Change %
2020-11-13,119.26,119.44,119.67,117.87,81.69M,0.0004
2020-11-12,119.21,119.55,120.52,118.58,103.35M,-0.0023
2020-11-11,119.49,117.17,119.59,116.51,112.29M,0.0304
2020-11-10,115.97,115.57,117.58,114.14,138.02M,-0.003
2020-11-09,116.32,120.5,121.98,116.12,154.52M,-0.02
2020-11-06,118.69,118.32,119.2,116.13,114.46M,-0.0029
2020-11-05,119.03,118,119.62,116.88,126.39M,0.0355
2020-11-04,114.95,114.14,115.59,112.35,138.24M,0.0408
2020-11-03,110.44,109.66,111.49,108.73,107.62M,0.0154
2020-11-02,108.77,109.11,110.68,107.32,122.87M,-0.0008
2020-10-30,108.86,111.06,111.99,107.72,190.57M,-0.056
2020-10-29,115.32,112.37,116.93,112.2,146.13M,0.0371
2020-10-28,111.2,114.95,115.42,111.17,143.94M,-0.0463
2020-10-27,116.6,115.48,117.27,114.54,92.28M,0.0135
2020-10-26,115.05,113.89,116.52,112.89,111.85M,0.0001
2020-10-23,115.04,116.39,116.55,114.28,82.57M,-0.0061
2020-10-22,115.75,117.41,118.02,114.88,101.99M,-0.0096
2020-10-21,116.87,116.58,118.69,116.58,89.95M,-0.0054
2020-10-20,117.51,116.08,118.97,115.66,124.42M,0.0132
2020-10-19,115.98,120.01,120.4,115.68,120.64M,-0.0255
2020-10-16,119.02,121.28,121.55,118.81,115.39M,-0.014
2020-10-15,120.71,119.13,121.19,119.1,112.56M,-0.004
2020-10-14,121.19,120.92,122.99,119.63,151.06M,0.0007
2020-10-13,121.1,125.32,125.32,119.89,262.33M,-0.0265
2020-10-12,124.4,120.02,125.16,119.36,240.23M,0.0635
2020-10-09,116.97,115.28,117,114.92,100.51M,0.0174
2020-10-08,114.97,116.2,116.3,114.6,83.48M,-0.001
2020-10-07,115.08,114.7,115.46,114.14,96.85M,0.017
2020-10-06,113.16,115.8,116.09,112.3,161.50M,-0.0287
2020-10-05,116.5,113.91,116.65,113.55,106.24M,0.0308
2020-10-02,113.02,112.89,115.37,112.22,144.71M,-0.0323
2020-10-01,116.79,117.63,117.63,115.86,116.12M,0.0085
2020-09-30,115.81,113.79,117.24,113.75,142.68M,0.0151
2020-09-29,114.09,114.54,115.29,113.61,100.06M,-0.0076
2020-09-28,114.96,115.01,115.32,112.78,137.67M,0.0239
2020-09-25,112.28,108.43,112.44,107.67,149.98M,0.0375
2020-09-24,108.22,105.17,110.25,105,167.74M,0.0103
2020-09-23,107.12,111.62,112.11,106.77,150.72M,-0.0419
2020-09-22,111.81,112.68,112.86,109.16,183.06M,0.0157
2020-09-21,110.08,104.54,110.19,103.1,195.71M,0.0303
2020-09-18,106.84,110.4,110.88,106.09,287.10M,-0.0317
2020-09-17,110.34,109.72,112.2,108.71,178.01M,-0.016
2020-09-16,112.13,115.23,116,112.04,155.03M,-0.0295
2020-09-15,115.54,118.33,118.83,113.61,184.64M,0.0016
2020-09-14,115.36,114.72,115.93,112.8,140.15M,0.03
2020-09-11,112,114.57,115.23,110,180.86M,-0.0131
2020-09-10,113.49,120.36,120.5,112.5,182.27M,-0.0326
