Date,Price,Open,High,Low,Vol.,Change %
2020-11-13,"3,128.81","3,122.00","3,141.72","3,085.39",3.76M,0.60%
2020-11-12,"3,110.28","3,150.39","3,175.00","3,086.84",4.37M,-0.86%
2020-11-11,"3,137.39","3,061.93","3,138.72","3,051.93",4.37M,3.37%
2020-11-10,"3,035.02","3,097.72","3,112.67","3,020.00",6.59M,-3.46%
2020-11-09,"3,143.74","3,226.28","3,288.45","3,115.00",7.19M,-5.06%
2020-11-06,"3,311.37","3,304.64","3,322.00","3,232.00",4.65M,-0.32%
2020-11-05,"3,322.00","3,318.33","3,365.52","3,291.19",5.79M,2.49%
2020-11-04,"3,241.16","3,159.99","3,244.85","3,139.73",6.84M,6.32%
2020-11-03,"3,048.41","3,018.53","3,074.90","2,980.98",4.90M,1.46%
2020-11-02,"3,004.48","3,061.74","3,079.71","2,950.12",7.26M,-1.04%
2020-10-30,"3,036.15","3,157.75","3,167.00","3,019.00",8.40M,-5.45%
2020-10-29,"3,211.01","3,201.27","3,257.25","3,164.00",6.60M,1.52%
2020-10-28,"3,162.78","3,248.72","3,264.02","3,162.78",5.59M,-3.76%
2020-10-27,"3,286.33","3,223.00","3,291.18","3,212.26",4.29M,2.47%
2020-10-26,"3,207.04","3,196.02","3,281.42","3,153.54",5.90M,0.08%
2020-10-23,"3,204.40","3,191.00","3,205.33","3,140.00",3.47M,0.88%
2020-10-22,"3,176.40","3,189.87","3,198.00","3,122.25",4.21M,-0.27%
2020-10-21,"3,184.94","3,210.13","3,232.24","3,160.00",4.59M,-1.00%
2020-10-20,"3,217.01","3,219.50","3,265.04","3,193.86",4.51M,0.31%
2020-10-19,"3,207.21","3,298.84","3,327.50","3,193.00",5.22M,-2.00%
2020-10-16,"3,272.71","3,363.23","3,399.66","3,160.00",6.47M,-1.98%
2020-10-15,"3,338.65","3,292.01","3,355.88","3,280.00",5.22M,-0.75%
2020-10-14,"3,363.71","3,447.00","3,464.88","3,340.00",5.83M,-2.32%
2020-10-13,"3,443.63","3,467.99","3,492.38","3,424.22",5.74M,0.02%
2020-10-12,"3,442.93","3,349.94","3,496.24","3,339.55",8.36M,4.75%
