Date,Price,Open,High,Low,Vol.,Change %
2020-11-13,249.51,252.84,253.79,247.56,5.16M,0
2020-11-12,249.42,248.01,254.83,247.6,5.61M,-0.02
2020-11-11,254.18,253.5,256.67,251.39,4.16M,0.03
2020-11-10,247.66,258.14,258.34,243.03,6.86M,-0.04
2020-11-09,259.28,261.15,270.92,257.44,8.78M,0
2020-11-06,260.15,260,261.75,254.49,3.80M,0
2020-11-05,260.22,258.36,260.88,255.55,8.96M,0.04
2020-11-04,250.74,246.12,252.82,243.25,6.51M,0.06
2020-11-03,237.13,235.18,240.86,233.45,4.15M,0.02
2020-11-02,232.45,235.09,238.36,229.3,3.95M,0
2020-10-30,232.27,235.82,237.75,228.66,5.74M,-0.02
2020-10-29,237.14,242.52,242.52,237.13,4.59M,-0.01
2020-10-28,238.43,245.15,245.34,238.01,4.43M,-0.05
2020-10-27,250.3,247.84,251.61,245.95,4.29M,0.03
2020-10-26,241.98,244.65,248.09,237.38,5.86M,-0.03
2020-10-23,250.52,250.1,250.57,246.81,3.16M,0
2020-10-22,249.67,254,255.03,246.21,3.69M,-0.02
2020-10-21,254.23,256.63,258.21,251.87,2.79M,-0.01
2020-10-20,255.97,256.08,259.03,254.24,2.99M,0
2020-10-19,255.01,260.13,261.42,254.53,3.24M,-0.01
2020-10-16,258.55,259.24,262.52,258.49,3.10M,0
2020-10-15,257.72,257.91,260,254.12,5.26M,-0.02
2020-10-14,261.83,269.84,269.84,258.82,5.13M,-0.02
2020-10-13,266.83,265.09,268.78,264.89,3.71M,0
2020-10-12,267.07,269.5,269.5,265.5,4.32M,0
2020-10-09,265.98,262.9,266.05,261.5,4.23M,0.02
2020-10-08,260.22,264.09,264.09,257.1,4.15M,0
2020-10-07,259.98,252.2,260.69,252.2,4.96M,0.04
2020-10-06,250.14,252.85,257.25,249,4.45M,-0.01
2020-10-05,251.53,250,253.28,249,3.40M,0.01
2020-10-02,247.85,249.75,254.95,247.21,4.49M,-0.02
2020-10-01,253.45,253.83,254.61,250.81,4.32M,0.01
2020-09-30,251.32,247.25,255.38,246.62,8.19M,0.02
2020-09-29,247.45,246.82,247.87,244.55,4.01M,0
2020-09-28,246.67,247.98,248.56,242.3,4.09M,0.02
2020-09-25,242.74,237.39,243.95,235.05,5.12M,0.02
2020-09-24,237.55,235.01,239.88,233.68,4.17M,0.01
2020-09-23,235.99,248.62,248.62,235.38,7.51M,-0.05
2020-09-22,247.78,246.93,248.51,241.3,3.60M,0.01
2020-09-21,245.05,238.84,245.05,236.85,5.56M,0.01
2020-09-18,242.78,245.13,248.11,238.71,6.60M,-0.01
2020-09-17,244.53,245.55,248.77,241.34,5.28M,-0.02
2020-09-16,250.6,254,255.39,250.35,5.44M,0
2020-09-15,251.68,251.23,251.94,248.53,4.13M,0.02
2020-09-14,246.64,246.76,248.79,244.04,4.26M,0.01
2020-09-11,243.1,250.72,251.3,239.45,5.46M,-0.02
2020-09-10,247.8,254.98,256.48,247.12,5.94M,-0.01
2020-09-09,250.43,246.07,253.43,243,9.99M,0.04
2020-09-08,241.27,241.33,253.54,240.28,15.23M,-0.05
2020-09-04,254.7,262.98,265.67,243.2,14.37M,-0.04
2020-09-03,265.01,270.45,271.66,257.51,14.00M,-0.04
2020-09-02,276.69,283,284.38,268.68,12.96M,-0.02
2020-09-01,281.25,271,281.93,270.58,13.08M,0.03
2020-08-31,272.65,270.07,274.62,265.97,16.01M,0.01
2020-08-28,271.1,271.28,275.75,267.4,28.07M,-0.02
2020-08-27,276.32,267.05,278.13,261.04,22.82M,0.01
2020-08-26,272.32,252.16,277.77,249.5,63.25M,0.26
2020-08-25,216.05,213.18,218.3,210.89,27.10M,0.04
2020-08-24,208.46,208.65,209.13,205.24,5.70M,0
2020-08-21,207.53,209.94,210,206.25,5.73M,-0.01
2020-08-20,209.51,203.75,210.06,203.57,5.18M,0.02
2020-08-19,205.11,203.99,207.07,200.11,7.08M,0.01
2020-08-18,204.01,199,204.79,199,7.28M,0.04
2020-08-17,196.74,195.25,197.05,194.45,3.57M,0.02
2020-08-14,193.46,195.22,195.48,192.52,2.83M,-0.01
2020-08-13,195.14,193.37,198.01,193.26,4.71M,0.01
2020-08-12,192.62,192.9,195.29,192.12,3.98M,0
2020-08-11,191.99,194.06,195.82,191.75,5.02M,-0.03
2020-08-10,197.16,200.38,201.43,195.81,5.53M,-0.02
2020-08-07,201.05,206.62,206.94,198.58,5.42M,-0.03
2020-08-06,207.79,203,209.95,202.4,5.11M,0.03
2020-08-05,202.64,202.41,203.88,201.62,3.62M,0.01
2020-08-04,201.41,202.92,203.35,199,4.44M,-0.01
2020-08-03,203.19,197.23,204.78,196.6,6.56M,0.04
2020-07-31,194.85,193,194.99,190.67,3.73M,0.02
2020-07-30,191.7,190.35,191.92,187.38,3.59M,-0.01
2020-07-29,193.61,190.15,194.55,189.75,3.75M,0.02
2020-07-28,189.5,190.99,192.95,189.1,3.11M,-0.01
2020-07-27,190.96,189.99,191.56,188.65,3.02M,0.01
2020-07-24,188.49,186.06,188.94,184.38,3.91M,0
2020-07-23,188.54,191.32,194.47,187.51,3.64M,-0.01
2020-07-22,191.31,190.87,191.77,188.87,2.83M,0
