Date,Price,Open,High,Low,Vol.,Change %
2020-11-13,83.03,81.15,83.34,81.03,10.90M,0.0293
2020-11-12,80.67,81.03,82.23,79.91,8.93M,-0.0217
2020-11-11,82.46,84.21,84.49,81.81,11.64M,-0.0073
2020-11-10,83.07,81.8,83.13,79.77,15.04M,0.0462
2020-11-09,79.4,80.29,84.22,78.27,24.02M,0.1160
2020-11-06,71.15,72.5,73.27,70.83,8.37M,-0.0137
2020-11-05,72.14,71.89,72.97,71.76,10.63M,0.0052
2020-11-04,71.77,70.92,73.59,69.9,10.93M,0.0004
2020-11-03,71.74,73.21,73.26,71.06,8.61M,-0.0057
2020-11-02,72.15,70.7,73.06,69.41,11.48M,0.0381
2020-10-30,69.5,69.9,70.11,68.08,17.20M,0.0102
2020-10-29,68.8,66.13,69.14,65.16,12.29M,0.0287
2020-10-28,66.88,67.4,68.08,66.33,15.96M,-0.0378
2020-10-27,69.51,70.34,70.52,69.5,14.25M,-0.0202
2020-10-26,70.94,71.66,71.87,70.25,9.71M,-0.0225
2020-10-23,72.57,73.93,74.36,71.83,8.73M,-0.0113
2020-10-22,73.4,70.87,73.48,70.57,9.81M,0.0357
2020-10-21,70.87,71.05,71.58,70.74,9.80M,-0.0113
2020-10-20,71.68,71.99,72.27,71.05,7.75M,0.0056
2020-10-19,71.28,73.17,73.25,71.2,8.36M,-0.0221
2020-10-16,72.89,73.52,74.03,72.27,9.31M,-0.0084
2020-10-15,73.51,71.84,73.72,71.42,10.05M,0.0077
2020-10-14,72.95,73.39,74.43,72.92,7.06M,-0.0061
2020-10-13,73.4,74.33,74.54,72.78,10.44M,-0.0149
2020-10-12,74.51,73.63,74.95,73.23,9.06M,0.0069
2020-10-09,74,75.86,76.09,73.98,12.26M,-0.0162
2020-10-08,75.22,74.12,75.55,74,11.59M,0.0195
2020-10-07,73.78,72.37,73.91,71.57,15.41M,0.0205
2020-10-06,72.3,73.92,74.31,72.25,15.29M,-0.0055
2020-10-05,72.7,71.52,72.73,70.71,12.05M,0.0212
2020-10-02,71.19,68.92,71.67,68.82,9.85M,0.0109
2020-10-01,70.42,71.5,71.83,70.03,14.93M,-0.0219
2020-09-30,72,72.25,72.88,71.61,10.47M,0.0014
2020-09-29,71.9,74,74.12,71.12,10.56M,-0.0275
2020-09-28,73.93,73.89,74.67,73.17,12.86M,0.0292
2020-09-25,71.83,71.01,72.48,70.77,11.07M,0.0004
2020-09-24,71.8,71,73.03,70.51,15.20M,-0.0021
2020-09-23,71.95,75.59,75.89,71.86,16.65M,-0.0474
2020-09-22,75.53,76.12,77.5,75.36,9.15M,-0.0101
2020-09-21,76.3,76.23,76.65,74.68,16.20M,-0.0244
2020-09-18,78.21,77.88,79.15,77.5,14.52M,-0.0074
2020-09-17,78.79,77.38,78.81,76.39,10.52M,0.0029
2020-09-16,78.56,76.24,79.48,75.96,13.02M,0.0289
2020-09-15,76.35,77.56,78.47,75.98,11.73M,-0.0122
2020-09-14,77.29,77.48,77.98,76.92,8.18M,-0.0051
2020-09-11,77.69,78.24,78.69,77.07,13.73M,-0.0059
2020-09-10,78.15,80.54,80.87,78.06,11.85M,-0.0235
2020-09-09,80.03,80,81.06,79.68,9.27M,0.0134
2020-09-08,78.97,80.33,80.43,78.05,14.94M,-0.0361
2020-09-04,81.93,82.46,83.64,80.9,10.52M,-0.0043
2020-09-03,82.28,83.24,84.47,81.72,16.18M,-0.0109
2020-09-02,83.19,83,83.95,82.71,10.82M,0.0013
2020-09-01,83.08,83.26,83.63,82.45,8.97M,-0.0101
2020-08-31,83.93,85.8,85.87,83.93,9.44M,-0.0199
2020-08-28,85.63,85.05,85.73,84.32,7.31M,0.0085
2020-08-27,84.91,85.09,85.63,83.97,7.44M,0.0015
2020-08-26,84.78,85.65,85.82,84.67,7.49M,-0.0157
2020-08-25,86.13,87.83,87.83,85.76,6.84M,-0.0123
2020-08-24,87.2,85.49,87.29,84.89,8.74M,0.0249
2020-08-21,85.08,84.67,85.09,83.51,9.00M,0.0032
2020-08-20,84.81,85.39,85.83,84.73,7.87M,-0.0183
2020-08-19,86.39,87.5,87.89,86.21,9.12M,-0.0142
2020-08-18,87.63,89.03,89.33,87.32,7.98M,-0.0346
2020-08-17,90.77,90.29,91.52,89.72,10.47M,0.0046
2020-08-14,90.35,89,90.59,88.85,6.34M,0.0059
2020-08-13,89.82,89.86,91.26,89.77,7.31M,-0.0099
2020-08-12,90.72,90.89,91.63,89.46,9.06M,0.0123
2020-08-11,89.62,91.95,92.96,89.18,9.07M,-0.0012
2020-08-10,89.73,87.84,89.74,87.63,8.15M,0.0338
2020-08-07,86.8,86.88,87.11,85.74,7.19M,-0.0077
2020-08-06,87.47,86.45,87.88,86.21,7.04M,0.0031
2020-08-05,87.2,88.22,88.41,86.41,7.35M,0.0082
2020-08-04,86.49,84.44,86.72,84.31,9.08M,0.0198
2020-08-03,84.81,83.98,85.14,83.81,11.22M,0.0104
2020-07-31,83.94,83.25,84.1,81.51,19.12M,-0.0270
2020-07-30,86.27,88.5,88.5,85.71,10.11M,-0.0422
2020-07-29,90.07,89.48,90.08,88.58,6.39M,0.0108
2020-07-28,89.11,90.6,91.11,88.78,6.79M,-0.0212
2020-07-27,91.04,89.7,91.07,88.8,7.60M,0.0101
2020-07-24,90.13,91.48,92.74,89.98,6.62M,-0.0097
2020-07-23,91.01,90.64,91.33,90.03,6.59M,-0.0003
2020-07-22,91.04,89.93,91.24,88.93,10.32M,-0.0038
2020-07-21,91.39,86.66,91.72,86.47,15.12M,0.0718
2020-07-20,85.27,86.83,87.49,84.8,14.97M,-0.0220
2020-07-17,87.19,88.41,89.11,86.91,5.96M,-0.0132
2020-07-16,88.36,88.67,89.48,87.35,4.80M,-0.0060
2020-07-15,88.89,90.19,90.19,88.23,5.94M,0.0061
2020-07-14,88.35,85.37,88.56,85.05,7.44M,0.0345
2020-07-13,85.4,86.01,86.9,84.85,7.07M,0.0020
2020-07-10,85.23,82.5,85.42,82.5,6.22M,0.0301
2020-07-09,82.74,85.9,86.32,82.71,8.83M,-0.0418
2020-07-08,86.35,86.54,87.78,85.9,6.74M,0.0005
2020-07-07,86.31,87.82,88.08,86.15,5.90M,-0.0255
2020-07-06,88.57,89.94,90.2,87.86,6.75M,0.0029
2020-07-02,88.31,89.37,90.36,88.16,5.83M,0.0079
2020-07-01,87.62,89.28,90.77,87.55,6.38M,-0.0180
2020-06-30,89.23,86.63,89.97,86.46,8.26M,0.0178
2020-06-29,87.67,87.06,88.52,86.71,7.02M,0.0140
2020-06-26,86.46,88.78,88.83,86.18,13.77M,-0.0308
2020-06-25,89.21,87.16,89.5,87.16,7.40M,0.0179
2020-06-24,87.64,89.81,90.12,87.05,8.97M,-0.0416
2020-06-23,91.44,92.45,93.05,91.18,6.32M,-0.0016
2020-06-22,91.59,90.39,91.68,89.59,5.94M,0.0106
2020-06-19,90.63,94.23,94.24,90.61,14.84M,-0.0142
2020-06-18,91.94,90.88,93.22,90.16,7.06M,0.0044
2020-06-17,91.54,94,94,91.52,6.02M,-0.0265
2020-06-16,94.03,94.82,95.54,91.59,8.73M,0.0307
2020-06-15,91.23,89.07,92.03,88.21,12.29M,-0.0126
2020-06-12,92.39,93.62,93.65,90.01,9.53M,0.0338
2020-06-11,89.37,92.16,94.17,89.13,14.94M,-0.0841
2020-06-10,97.58,100.95,101.49,97.58,10.49M,-0.0389
2020-06-09,101.53,100.5,102.92,99.87,10.75M,-0.0166
2020-06-08,103.24,102.84,103.59,100.9,11.09M,0.0241
2020-06-05,100.81,99.08,102.05,99.05,12.76M,0.0471
2020-06-04,96.28,96.73,96.73,95.16,6.37M,-0.0093
2020-06-03,97.18,95.96,97.73,95.81,8.44M,0.0263
2020-06-02,94.69,93.72,95.2,93.29,7.88M,0.0205
2020-06-01,92.79,90.94,93.85,90.11,7.35M,0.0119
2020-05-29,91.7,90.19,91.89,89.26,17.02M,0.0091
2020-05-28,90.87,93.83,93.83,90.82,9.64M,-0.0323
2020-05-27,93.9,94.5,94.55,92.13,7.82M,0.0064
2020-05-26,93.3,92.47,94.32,92.09,9.43M,0.0335
2020-05-22,90.28,91.45,91.49,89.47,8.56M,-0.0191
2020-05-21,92.04,93.01,93.33,91.28,8.83M,-0.0103
2020-05-20,93,90.99,93.44,90.2,9.16M,0.0377
2020-05-19,89.62,92.54,92.54,89.57,7.75M,-0.0317
2020-05-18,92.55,92.33,93.4,91.5,12.31M,0.0380
2020-05-15,89.16,90.69,92.03,88.85,10.11M,-0.0099
2020-05-14,90.05,87.2,90.91,86.02,10.68M,0.0152
2020-05-13,88.7,89.73,89.87,87.38,12.22M,-0.0263
2020-05-12,91.1,93.13,94.03,91,8.75M,-0.0243
2020-05-11,93.37,94.21,94.6,93.18,7.10M,-0.0220
2020-05-08,95.47,95,95.56,94.07,8.60M,0.0305
2020-05-07,92.64,92.98,94.06,91.91,9.75M,0.0288
2020-05-06,90.05,92.85,93.46,89.77,11.15M,-0.0306
2020-05-05,92.89,94.5,95.3,92.68,13.61M,0.0159
2020-05-04,91.44,88.76,91.62,87.69,11.19M,0.0224
2020-05-01,89.44,91.51,92.05,87.04,13.25M,-0.0278
2020-04-30,92,93.72,95.74,90.58,12.22M,-0.0277
2020-04-29,94.62,92.48,95.14,92.29,12.34M,0.0524
2020-04-28,89.91,89.55,90.96,88.83,10.65M,0.0022
2020-04-27,89.71,86.75,90.62,85.87,12.04M,0.0310
2020-04-24,87.01,88.48,88.79,85.77,9.18M,0.0024
2020-04-23,86.8,86.3,88.78,85.39,14.23M,0.0279
2020-04-22,84.44,84.95,85.25,82.97,10.33M,0.0343
2020-04-21,81.64,80.28,83.79,79.25,19.62M,-0.0231
2020-04-20,83.57,82.66,87,82.09,15.75M,-0.0413
2020-04-17,87.17,81.33,87.5,81.32,16.13M,0.0898
2020-04-16,79.99,81.31,82.19,78.81,12.29M,-0.0303
2020-04-15,82.49,80.46,83.38,79.32,13.98M,-0.0251
2020-04-14,84.61,85.46,87.08,84.33,14.80M,-0.0035
2020-04-13,84.91,87.18,87.36,83.4,13.85M,0.0071
2020-04-09,84.31,88.74,89.91,81.52,17.05M,-0.0194
2020-04-08,85.98,82.29,86.3,81.52,12.28M,0.0625
2020-04-07,80.92,84.26,85.69,80.85,16.39M,0.0066
