Date,Price,Open,High,Low,Vol.,Change %
2020-11-13,81.09,80.24,81.85,79.72,7.34M,0.0154
2020-11-12,79.86,80.58,80.58,79.04,7.12M,-0.0148
2020-11-11,81.06,81.8,81.87,80.59,5.48M,-0.0006
2020-11-10,81.11,81.77,82,81.04,8.20M,0.0076
2020-11-09,80.5,84.94,85.06,80.36,10.67M,0.0017
2020-11-06,80.36,79.45,81.14,79.45,6.63M,-0.0012
2020-11-05,80.46,82.06,82.88,80.46,8.85M,-0.0020
2020-11-04,80.62,79.79,82.89,79.59,14.06M,0.0481
2020-11-03,76.92,77.47,78.22,76.78,7.34M,0.0027
2020-11-02,76.71,76.45,76.84,75.64,7.77M,0.0199
2020-10-30,75.21,75.38,75.89,73.94,10.59M,-0.0090
2020-10-29,75.89,76.17,76.59,74.67,8.89M,-0.0038
2020-10-28,76.18,77.12,77.73,76.08,8.58M,-0.0232
2020-10-27,77.99,79.13,80.18,77.99,11.68M,-0.0108
2020-10-26,78.84,79.26,79.74,78.26,8.70M,-0.0124
2020-10-23,79.83,79.26,80.62,79.26,6.97M,0.0078
2020-10-22,79.21,78.27,79.42,78.24,5.80M,0.0146
2020-10-21,78.07,78.26,78.82,78.06,9.25M,-0.0026
2020-10-20,78.27,78.82,78.92,78.1,10.63M,-0.0051
2020-10-19,78.67,80.11,80.44,78.34,8.22M,-0.0145
2020-10-16,79.83,79.3,80.3,79.11,7.54M,0.0097
2020-10-15,79.06,79.81,79.81,78.78,8.73M,-0.0180
2020-10-14,80.51,80.87,80.87,80.08,8.75M,-0.0025
2020-10-13,80.71,80.29,80.92,80.04,8.71M,0.0044
2020-10-12,80.36,80.5,80.72,79.91,7.90M,0.0000
2020-10-09,80.36,80.88,81.08,80.05,5.68M,-0.0015
2020-10-08,80.48,80.39,81.82,80.23,8.79M,0.0055
2020-10-07,80.04,80.01,80.35,79.52,9.39M,0.0051
2020-10-06,79.63,81,81,79.53,9.80M,-0.0198
2020-10-05,81.24,81.23,81.54,80.62,8.40M,0.0054
2020-10-02,80.8,80.8,81.74,80.45,5.01M,-0.0103
2020-10-01,81.64,83.06,83.31,81.25,8.03M,-0.0158
2020-09-30,82.95,82.26,83.31,82.03,11.06M,0.0128
2020-09-29,81.9,82.67,83.15,81.7,6.43M,-0.0104
2020-09-28,82.76,83.21,83.68,82.58,5.84M,-0.0020
2020-09-25,82.93,82.15,83.24,81.8,6.61M,-0.0026
2020-09-24,83.15,82.1,83.48,82.03,7.48M,0.0063
2020-09-23,82.63,83.01,83.79,82.59,6.76M,-0.0037
2020-09-22,82.94,83.1,83.56,82.25,7.77M,-0.0023
2020-09-21,83.13,84.95,85.3,82.1,9.97M,-0.0312
2020-09-18,85.81,85.57,86.3,84.94,11.74M,0.0020
2020-09-17,85.64,85.24,85.77,84.47,7.72M,0.0008
2020-09-16,85.57,84.59,86.09,84.54,9.91M,0.0162
2020-09-15,84.21,84.63,85.15,83.65,10.33M,0.0006
2020-09-14,84.16,84.2,85.08,83.77,8.18M,-0.0038
2020-09-11,84.48,83.84,84.88,83.78,6.84M,0.0109
2020-09-10,83.57,84.68,84.85,83.28,6.59M,-0.0154
2020-09-09,84.88,83.78,85.82,83.68,8.46M,0.0186
2020-09-08,83.33,85.94,85.94,83.01,8.68M,-0.0224
2020-09-04,85.24,85.55,86.89,84.25,8.93M,-0.0029
2020-09-03,85.49,87.76,87.76,84.95,12.39M,-0.0166
2020-09-02,86.93,84.47,87.2,84.33,11.04M,0.0296
2020-09-01,84.43,85.35,85.8,83.92,6.46M,-0.0099
2020-08-31,85.27,85.51,85.92,85.14,7.57M,-0.0044
2020-08-28,85.65,85.88,85.88,84.91,5.85M,-0.0020
2020-08-27,85.82,85.45,86.15,85.08,6.17M,0.0033
2020-08-26,85.54,85.27,85.67,84.67,7.49M,-0.0016
2020-08-25,85.68,85.89,86.27,85.21,9.78M,0.0030
2020-08-24,85.42,85.3,85.45,84.48,7.23M,0.0052
2020-08-21,84.98,85.1,85.18,84.12,6.57M,-0.0006
2020-08-20,85.03,84.86,85.3,84.4,6.09M,0.0000
2020-08-19,85.03,84.75,85.69,84.69,6.58M,0.0056
2020-08-18,84.56,84.93,85.01,83.79,6.25M,-0.0024
2020-08-17,84.76,84.36,85.17,84.01,8.36M,0.0153
2020-08-14,83.48,83.38,84.43,83.17,7.05M,-0.0007
2020-08-13,83.54,82.27,83.63,82.08,7.11M,0.0104
2020-08-12,82.68,81.4,82.9,81.4,6.96M,0.0219
2020-08-11,80.91,81.68,81.85,80.64,7.29M,0.0000
2020-08-10,80.91,80.95,81.21,80.3,5.52M,-0.0014
2020-08-07,81.02,80.79,81.02,80.03,6.66M,-0.0004
2020-08-06,81.05,81.53,82.36,80.62,6.92M,-0.0072
2020-08-05,81.64,82.07,82.46,81.15,6.20M,-0.0004
2020-08-04,81.67,82.52,82.52,81.08,6.89M,-0.0105
2020-08-03,82.54,82.25,83.77,81.86,10.12M,0.0287
2020-07-31,80.24,80.89,81.68,79.15,11.73M,0.0158
2020-07-30,78.99,78.68,79.27,77.63,6.82M,-0.0045
2020-07-29,79.35,79.25,79.74,78.74,6.11M,-0.0043
2020-07-28,79.69,79.25,80.2,79.02,8.11M,0.0096
2020-07-27,78.93,76.56,79.14,76.36,10.46M,0.0237
2020-07-24,77.1,77.85,77.99,76.36,8.65M,-0.0123
2020-07-23,78.06,79.19,79.19,77.51,11.03M,-0.0091
2020-07-22,78.78,79.23,79.73,78.03,11.80M,-0.0014
2020-07-21,78.89,79.58,80.1,78.81,8.56M,-0.0065
2020-07-20,79.41,79.87,80.2,79.07,5.19M,-0.0058
2020-07-17,79.87,79.72,80.25,79.31,7.82M,0.0059
2020-07-16,79.4,79.78,79.81,78.75,5.57M,-0.0005
2020-07-15,79.44,79.03,79.96,78.86,7.36M,0.0152
2020-07-14,78.25,77.55,78.6,77.36,8.01M,0.0116
2020-07-13,77.35,77,78.57,76.75,7.74M,0.0081
2020-07-10,76.73,76.75,77.35,76.4,4.93M,0.0005
2020-07-09,76.69,77.96,78.28,76.04,7.60M,-0.0158
2020-07-08,77.92,78.62,78.93,77.49,7.83M,-0.0102
2020-07-07,78.72,79,79.68,78.59,6.64M,-0.0108
2020-07-06,79.58,79.25,80.02,78.94,7.69M,0.0102
2020-07-02,78.78,78.57,79.31,78.21,6.52M,0.0084
2020-07-01,78.12,77.43,78.94,77.12,9.49M,0.0102
2020-06-30,77.33,76.75,77.65,76.37,9.49M,0.0159
2020-06-29,76.12,76,76.5,75.53,6.90M,0.0124
2020-06-26,75.19,76.35,76.73,75,11.76M,-0.0180
2020-06-25,76.57,75.65,76.95,75.32,7.24M,0.0092
2020-06-24,75.87,76.73,76.86,75.45,7.71M,-0.0162
2020-06-23,77.12,77.29,78.6,76.91,10.91M,0.0048
2020-06-22,76.75,77.4,77.62,76.45,7.13M,-0.0148
2020-06-19,77.9,77.13,77.98,75.81,16.86M,0.0220
2020-06-18,76.22,75.64,76.26,75.39,7.40M,-0.0009
2020-06-17,76.29,77.45,77.45,75.63,13.34M,-0.0088
2020-06-16,76.97,75.26,77.4,74.84,20.46M,0.0399
2020-06-15,74.02,74.95,75.35,73.58,16.88M,-0.0299
2020-06-12,76.3,77.89,77.93,75.47,16.22M,-0.0136
2020-06-11,77.35,81.08,81.66,77.35,13.65M,-0.0541
2020-06-10,81.77,82.54,82.77,81,8.66M,-0.0060
2020-06-09,82.26,83.11,83.5,82.13,8.44M,-0.0077
2020-06-08,82.9,81.45,83.19,81.45,9.50M,0.0078
2020-06-05,82.26,82.11,83.13,81.49,9.94M,0.0087
2020-06-04,81.55,81.43,82.15,80.86,8.87M,-0.0062
2020-06-03,82.06,80.92,82.34,80.87,13.05M,0.0151
2020-06-02,80.84,79.5,80.86,78.85,10.83M,0.0161
2020-06-01,79.56,80.34,80.39,79.15,5.99M,-0.0144
2020-05-29,80.72,79.46,80.94,78.31,12.90M,0.0213
2020-05-28,79.04,78.65,80.28,78.6,12.59M,0.0192
2020-05-27,77.55,77.1,77.6,76.01,12.24M,0.0038
2020-05-26,77.26,78.25,78.25,76.92,18.27M,0.0117
2020-05-22,76.37,76.36,76.65,76.07,6.07M,-0.0024
2020-05-21,76.55,76.72,77.02,76.28,8.59M,-0.0044
2020-05-20,76.89,78.1,78.18,76.69,10.52M,-0.0085
2020-05-19,77.55,79.49,79.72,77.37,10.11M,-0.0272
2020-05-18,79.72,80.87,80.97,79.29,11.98M,-0.0008
2020-05-15,79.78,80.24,80.52,78.83,8.94M,-0.0034
2020-05-14,80.05,77.26,80.12,77.26,10.89M,0.0277
2020-05-13,77.89,77.01,78.79,76.66,10.43M,0.0091
2020-05-12,77.19,78.15,78.7,77.12,9.11M,-0.0092
2020-05-11,77.91,76.03,78.07,75.92,10.14M,0.0198
2020-05-08,76.4,76.5,76.96,75.97,8.39M,0.0106
2020-05-07,75.6,77,77.12,75.43,12.03M,-0.0197
